Date,c0,p0,n0
2020-05-26,0.20001499999999997,0.07395,0.026070000000000006
2020-06-02,0.22242899999999988,0.08382999999999999,0.034570000000000004
2020-06-09,0.12112199999999997,0.06716,0.03901000000000001
2020-06-16,0.287277,0.09089,0.027190000000000006
2020-06-23,0.19930299999999998,0.08053000000000005,0.0365
2020-06-30,0.13802099999999995,0.06114000000000001,0.031330000000000004
2020-07-07,0.199994,0.07659000000000003,0.029009999999999998
2020-07-14,0.18940500000000005,0.07623,0.036740000000000016
2020-07-21,0.19614499999999999,0.06864000000000002,0.021119999999999996
2020-07-28,0.19555599999999992,0.06988000000000001,0.024780000000000003
2020-08-04,0.15144299999999997,0.08173,0.044700000000000004
2020-08-11,0.24965399999999996,0.08936999999999999,0.029290000000000004
2020-08-18,0.22996799999999998,0.09113999999999998,0.030260000000000002
2020-08-25,0.218947,0.0925,0.03719
2020-09-01,0.24376099999999995,0.09232000000000001,0.031180000000000003
2020-09-08,0.2015599999999999,0.08420999999999998,0.03307000000000001
2020-09-15,0.190933,0.08141,0.03249
2020-09-22,0.178614,0.07957999999999998,0.03195
2020-09-29,0.19026600000000002,0.07067,0.024149999999999994
2020-10-06,0.25463100000000005,0.09202000000000003,0.02782
2020-10-13,0.19972700000000004,0.08502999999999998,0.034349999999999985
2020-10-20,0.2527269999999999,0.08087999999999995,0.022959999999999998
2020-10-27,0.1934819999999999,0.07615999999999996,0.03047000000000001
2020-11-03,0.21966700000000014,0.08011000000000001,0.029780000000000008
2020-11-10,0.1628129999999999,0.07045000000000004,0.034760000000000006
2020-11-17,0.28606400000000004,0.09142999999999998,0.021729999999999996
2020-11-24,0.19239799999999996,0.06881,0.025619999999999997
2020-12-01,0.25501500000000005,0.08728999999999999,0.019590000000000003
2020-12-08,0.21686499999999995,0.07947,0.028650000000000002
2020-12-15,0.28281399999999995,0.08364000000000005,0.015770000000000003
2020-12-22,0.14104600000000012,0.07105000000000002,0.04196999999999999
2020-12-29,0.2722609999999999,0.08589999999999998,0.023939999999999993
2021-01-05,0.17446799999999993,0.06463000000000002,0.022560000000000004
2021-01-12,0.17969099999999996,0.07229000000000002,0.029449999999999997
2021-01-19,0.164749,0.0683,0.02714000000000001
2021-01-26,0.11666099999999999,0.06898000000000003,0.04225999999999999
2021-02-02,0.13648100000000002,0.06520000000000001,0.028190000000000003
2021-02-09,0.21848199999999998,0.07581000000000002,0.022480000000000007
2021-02-16,0.19840399999999994,0.07515999999999998,0.032159999999999994
2021-02-23,0.29890700000000003,0.09311000000000004,0.022320000000000003
2021-03-02,0.28024400000000005,0.08623000000000001,0.02161
2021-03-09,0.19224400000000003,0.06268,0.024199999999999996
2021-03-16,0.3296110000000001,0.09734,0.021470000000000003
2021-03-23,0.24067500000000006,0.07893,0.020010000000000003
2021-03-30,0.15225000000000002,0.06547000000000001,0.02689
2021-04-06,0.13001799999999997,0.06489,0.03259999999999999
2021-04-13,0.21251699999999998,0.07931,0.02857
2021-04-20,0.2406980000000001,0.08511000000000003,0.029539999999999993
2021-04-27,0.11731,0.0676,0.03727
2021-05-04,0.22759199999999996,0.07211999999999998,0.020149999999999998
2021-05-11,0.19043199999999996,0.07754000000000001,0.03202000000000001
2021-05-18,0.011085999999999995,0.049109999999999994,0.044930000000000005
2021-05-25,0.14501100000000006,0.07112000000000002,0.03704
2021-06-01,0.258072,0.09210999999999998,0.029049999999999992
2021-06-08,0.125721,0.05829999999999999,0.03242999999999999
2021-06-15,0.11673199999999997,0.059739999999999994,0.02994000000000001
2021-06-22,0.101864,0.06434000000000001,0.03733999999999999
2021-06-29,0.23743399999999995,0.07363999999999998,0.017310000000000006
2021-07-06,0.15365200000000004,0.07354,0.033769999999999994
2021-07-13,0.14556800000000003,0.06907999999999999,0.033460000000000004
2021-07-20,0.191956,0.06578,0.01985
2021-07-27,0.17906199999999997,0.07775,0.03524000000000001
2021-08-03,0.2110379999999999,0.07355000000000002,0.023199999999999995
2021-08-10,0.06679800000000001,0.06399999999999997,0.04125000000000001
2021-08-17,0.15141199999999996,0.06393999999999998,0.025999999999999992
2021-08-24,0.16159099999999996,0.07271000000000002,0.033209999999999996
2021-08-31,0.19750299999999996,0.06995,0.02355999999999999
2021-09-07,0.15251,0.07038000000000003,0.03333
2021-09-14,0.15795500000000007,0.07886999999999998,0.039389999999999994
2021-09-21,0.08178300000000002,0.06307000000000001,0.04214
2021-09-28,0.17434300000000003,0.07224999999999998,0.028030000000000003
2021-10-05,0.2328310000000001,0.08347000000000003,0.024939999999999997
2021-10-12,0.14714,0.059050000000000005,0.026740000000000003
2021-10-19,0.23308600000000002,0.08085000000000003,0.024480000000000005
2021-10-26,0.232152,0.08214000000000005,0.023879999999999995
2021-11-02,0.27640099999999995,0.08204,0.01622
2021-11-09,0.2726469999999999,0.08942999999999998,0.02887
2021-11-16,0.15993100000000002,0.0642,0.029620000000000007
2021-11-23,0.172113,0.07243,0.03101
2021-11-30,0.17487299999999997,0.08252000000000001,0.041870000000000004
2021-12-07,0.14911000000000005,0.07141,0.03336
2021-12-14,0.2281759999999999,0.08734000000000001,0.030279999999999994
2021-12-21,0.2911319999999999,0.09290999999999996,0.023400000000000004
2021-12-28,0.264124,0.08404,0.023450000000000006
2022-01-04,0.22012700000000013,0.08491,0.029999999999999992
2022-01-11,0.19576300000000002,0.07918999999999998,0.03493
2022-01-18,0.12160700000000003,0.06467,0.03667999999999999
2022-01-25,0.207031,0.08055999999999998,0.03118
2022-02-01,0.224379,0.09125,0.03585
