Date,c0,p0,n0
2020-05-26,0.20010800000000006,0.08425000000000002,0.038040000000000004
2020-06-02,0.197979,0.09417000000000003,0.04654999999999999
2020-06-09,0.15915800000000002,0.07124000000000001,0.037529999999999994
2020-06-16,0.20277199999999998,0.08280000000000001,0.03794
2020-06-23,0.14075400000000002,0.07981999999999996,0.04105
2020-06-30,0.05996300000000001,0.07446000000000001,0.05413000000000001
2020-07-07,0.15540300000000004,0.08324999999999999,0.04563999999999999
2020-07-14,0.09961700000000001,0.07407,0.04776000000000002
2020-07-21,0.13693999999999998,0.08539000000000002,0.06198999999999999
2020-07-28,0.19355799999999998,0.08887999999999996,0.04179
2020-08-04,0.170241,0.08648000000000003,0.04981000000000001
2020-08-11,0.14440500000000006,0.08107000000000002,0.04416
2020-08-18,0.081571,0.06450999999999998,0.049610000000000015
2020-08-25,0.13666099999999998,0.07989,0.048049999999999995
2020-09-01,0.19810100000000003,0.08355000000000003,0.038040000000000004
2020-09-08,0.026691999999999987,0.06695000000000002,0.055789999999999985
2020-09-15,0.155219,0.07396999999999998,0.03435
2020-09-22,0.11153799999999996,0.07940999999999998,0.05077999999999999
2020-09-29,0.20937599999999992,0.07804999999999997,0.030800000000000008
2020-10-06,0.21700299999999995,0.08608,0.03771
2020-10-13,0.14956399999999997,0.0675,0.03513000000000001
2020-10-20,0.11593499999999998,0.07333000000000002,0.04685999999999999
2020-10-27,0.17013200000000006,0.07924000000000002,0.04144999999999999
2020-11-03,0.24679800000000007,0.08843999999999998,0.030769999999999995
2020-11-10,0.26003400000000004,0.09588000000000002,0.026869999999999998
2020-11-17,0.19942300000000007,0.07894000000000001,0.03270000000000001
2020-11-24,0.097926,0.08221,0.06002000000000002
2020-12-01,0.16790499999999997,0.07779000000000001,0.041130000000000014
2020-12-08,0.13658899999999996,0.06686,0.036119999999999985
2020-12-15,0.20753400000000005,0.08870999999999998,0.03636999999999999
2020-12-22,0.057518000000000014,0.07428,0.061629999999999976
2020-12-29,0.22229599999999997,0.08624000000000005,0.03593999999999999
2021-01-05,0.22706500000000004,0.09258999999999995,0.04007000000000001
2021-01-12,0.11303899999999999,0.07216000000000002,0.04716000000000001
2021-01-19,0.15284399999999995,0.08631000000000003,0.04439999999999999
2021-01-26,0.20006099999999993,0.08333,0.04157000000000001
2021-02-02,0.1887099999999999,0.09268000000000001,0.0454
2021-02-09,0.26274699999999995,0.09506000000000003,0.03001
2021-02-16,0.21459599999999998,0.08797000000000002,0.03984
2021-02-23,0.10117200000000003,0.07534000000000002,0.05152
2021-03-02,0.207146,0.08985000000000003,0.038740000000000004
2021-03-09,0.16110599999999997,0.08686000000000002,0.04900999999999999
2021-03-16,0.20912499999999998,0.08220000000000002,0.0362
2021-03-23,0.17482599999999995,0.06853999999999998,0.031990000000000005
2021-03-30,0.23062499999999997,0.09598000000000001,0.03819
2021-04-06,0.17786600000000002,0.08115999999999998,0.03689
2021-04-13,0.203217,0.08064,0.034260000000000006
2021-04-20,0.18589799999999998,0.08615000000000002,0.040839999999999994
2021-04-27,0.22169499999999995,0.09698999999999999,0.041589999999999995
2021-05-04,0.21928699999999993,0.08366999999999997,0.03742
2021-05-11,0.12247100000000005,0.07961000000000001,0.049819999999999996
2021-05-18,0.16084200000000004,0.09003,0.05561000000000001
2021-05-25,0.16580299999999998,0.08625,0.04332
2021-06-01,0.27831700000000004,0.09307000000000003,0.026850000000000006
2021-06-08,0.13275699999999996,0.07815,0.04327
2021-06-15,0.18662100000000006,0.08152999999999996,0.039069999999999994
2021-06-22,0.13628299999999993,0.06378000000000003,0.03722000000000001
2021-06-29,0.152539,0.07749000000000002,0.03697
2021-07-06,0.19029000000000004,0.07771,0.03229
2021-07-13,0.2659590000000001,0.09002999999999997,0.02921
2021-07-20,0.38562400000000013,0.11298000000000002,0.023000000000000003
2021-07-27,0.47360900000000017,0.13313,0.017389999999999996
2021-08-03,0.4747760000000001,0.1374,0.01995
2021-08-10,0.257453,0.09672000000000003,0.035800000000000005
2021-08-17,0.21536700000000006,0.08761999999999999,0.035919999999999994
2021-08-24,0.22257999999999994,0.08727,0.03723
2021-08-31,0.256863,0.10686999999999999,0.03691000000000002
2021-09-07,0.147277,0.08911,0.05205000000000002
2021-09-14,0.12911799999999998,0.07958,0.05151
2021-09-21,0.1935009999999999,0.08425000000000002,0.036610000000000004
2021-09-28,0.09712500000000002,0.06902000000000001,0.04922000000000001
2021-10-05,0.17413800000000004,0.07787000000000001,0.03412000000000001
2021-10-12,0.19421800000000009,0.08092,0.030210000000000008
2021-10-19,0.26793600000000006,0.09198000000000002,0.028900000000000002
2021-10-26,0.18407,0.08526000000000002,0.03782
2021-11-02,0.19670499999999994,0.08382000000000002,0.03861999999999999
2021-11-09,0.16071600000000003,0.07397999999999999,0.041350000000000005
2021-11-16,0.19466499999999998,0.0824,0.036049999999999985
2021-11-23,0.12675599999999995,0.08578999999999998,0.05639000000000001
2021-11-30,0.13680300000000004,0.07927999999999998,0.04715
2021-12-07,0.11310800000000011,0.07974999999999999,0.0502
2021-12-14,0.18733900000000003,0.08603000000000001,0.04056000000000001
2021-12-21,0.188059,0.08308000000000001,0.04463999999999999
2021-12-28,0.157451,0.08265000000000004,0.045519999999999984
2022-01-04,0.21063500000000002,0.08615999999999997,0.036989999999999995
2022-01-11,0.19274900000000006,0.08769000000000002,0.04442000000000002
2022-01-18,0.13501100000000002,0.07852000000000002,0.047519999999999986
2022-01-25,0.27382399999999996,0.08037000000000001,0.02343
2022-02-01,0.24948799999999996,0.09176000000000004,0.034300000000000004
